Application,Launcher,Path,Icon Name
2048,2048,/usr/share/2048/meta/apple-touch-icon.png,2048
1-to-1 Assistance,1-to-1_assistance,1-to-1_assistance.png,1-to-1_assistance
1-to-1 Voice,1-to-1_voice,1-to-1_voice.png,1-to-1_voice
2048-Qt,2048-qt,/usr/share/pixmaps/2048-qt.xpm,2048-qt
3D Acceleration,driconf,/usr/share/driconf/driconf-icon.png,driconf-icon
MPLAB IDE,,mplab_ide.png,mplab_ide
MPLAB IPE,,mplab_ipe.png,mplab_ipe
4Pane,4Pane,/usr/share/4Pane/bitmaps/4PaneIcon48.png,4Pane
8BitMMO,8BitMMO,steam,steam_icon_250420
Aard Dictionary,aarddict,aarddict.png,aarddict
AB-Transfers,abtransfers,/usr/share/abtransfers/bank/transfer/128x128.png,abtransfers
Account authentication,signon-ui,,preferences-login
AClock,AClock,/usr/lib/GNUstep/Applications/AClock.app/Resources/AClock.tiff,aclock.app
AClock,AClock,/usr/lib/GNUstep/Applications/AClock.app/Resources/clock.png,AClock
Aconnectgui,aconnectgui,/usr/share/pixmaps/aconnectgui.xpm,aconnectgui
ADSL/PPPOE configuration,pppoeconf,/usr/share/pixmaps/pppoeconf.xpm,pppoeconf
Adun,UL,/usr/lib/GNUstep/Applications/UL.app/Resources/icon.tiff,Adun
Advene Video annotation,advene,/usr/share/advene/pixmaps/icon_advene32.png,advene
AfterStep,AfterStep,/usr/share/afterstep/desktop/icons/large/AfterStep3,AfterStep3
Aghermann,aghermann,@PKGDATADIR@/aghermann.png,aghermann
Ajuda do Receitanet,rfb-receitanet-ajuda,/opt/Programas RFB/Receitanet/imagens/Ajuda.xpm,Ajuda
All Video Downloader,allvideodownloader,/opt/allvideodownloader/icons/allvideodownloader.png,allvideodownloader
AllTray 0.7.5.1dev,alltray,alltray.png,alltray
Alsamixergui,alsamixergui,/usr/share/pixmaps/alsamixergui.xpm,aconnectgui
Alternatives Configurator,galternatives,/usr/share/pixmaps/galternatives.png,galternatives
AltOS UI,altos,/usr/share/pixmaps/altusmetrum.xpm,altusmetrum
AltOS UI,altusmetrum-altosui,/usr/share/icons/hicolor/scalable/apps/altusmetrum-altosui.svg,altusmetrum
AltYo,altyo,altyo.png,altyo
AltYo,altyo_standalone,altyo.png,altyo
Amoebax,amoebax,amoebax.svg,amoebax
amoebax,amoebax,amoebax.svg,amoebax
amSynth,amsynth,/usr/share/pixmaps/amsynth.png,amsynth
amSynth,amsynth,/usr/share/pixmaps/amsynth.xpm,amsynth
Anagramarama,anagramarama,,anagramarama
Android Studio,android-studio,/opt/android-studio/bin/studio.png,android-studio
Android Studio,android-studio,/usr/share/icons/androidstudio.svg,android-studio
Android Studio,android-studio,hardcoded,android-studio
Android Studio,jetbrains-studio,/opt/android-studio/bin/studio.png,android-studio
Angband (GTK),angband-gtk,/usr/share/angband/xtra/icon/att-32.png,att
Angband (SDL),angband-sdl,/usr/share/angband/xtra/icon/att-32.png,att
Angband (X11),angband-x11,/usr/share/angband/xtra/icon/att-32.png,att
Angry Drunken Dwarves,angrydd,/usr/share/games/angrydd/angrydd.png,angrydd
Anna - Extended Edition,Anna - Extended Edition,steam,steam_icon_217690
AnyConnect,cisco-anyconnect,/opt/cisco/anyconnect/pixmaps/vpnui48.png,vpnui48
App Launcher,mb-applet-menu-launcher,mbmenu.png,mbmenu
Aptik,aptik,/usr/share/pixmaps/aptik.png,aptik
apvlv,apvlv,/usr/share/pixmaps/apvlv/apvlv.xpm,apvlv
APX,apx,/usr/share/apx/icons/apx.svg,apx
Ardentryst,Ardentryst,/usr/share/pixmaps/ardentryst.png,ardentryst
Ardour 2,ardour2,/usr/share/ardour2/icons/ardour_icon_22px.png,ardour
Ardour 3,ardour,/usr/share/ardour3/icons/ardour_icon_48px.png,ardour
Ardour 3,ardour,/opt/ardour3/share/icons/ardour_icon_48px.png,ardour
Ardour 3,ardour3,/usr/share/ardour3/icons/ardour_icon_48px.png,ardour
Ardour 3,ardour3,/opt/ardour3/share/icons/ardour_icon_48px.png,ardour
Ardour 4,ardour,/usr/share/ardour4/icons/ardour_icon_256px.png,ardour
Ardour Digital Audio Workstation,ardour,/usr/share/ardour2/icons/ardour_icon_22px.png,ardour
Arista,arista,/usr/share/arista/ui/icon.svg,arista
Arista Transcoder,arista,/usr/share/arista/ui/icon.svg,arista
Armagetron Advanced,armagetronad,/usr/share/pixmaps/armagetronad/icons/large/armagetronad.png,armagetronad
Arronax,arronax,/usr/share/arronax/icons/arronax.png,arronax
Artemis,artemis,/usr/share/pixmaps/artemis.xpm,artemis
Ascii Design,ascii-design,ascii-design.png,ascii-design
AstroMenace,astromenace,/usr/share/pixmaps/astromenace.png,astromenace
Athena,athena,/usr/share/pixmaps/athena.xpm,athena
Atomix,atomix,/usr/share/games/atomix/atomix-logo.png,atomix
Attal,attal,,attal
Attal scenario editor,attalscenario,,attalscenario
Attal server,attalserver,,attalserver
Attal theme editor,attaltheme,,attaltheme
Auralquiz,auralquiz,/usr/share/pixmaps/auralquiz.png,auralquiz
Authentication,lxqt_drakauth,/usr/share/mcc/themes/default/drakauth-mdk.png,drakauth-mdk
Auto Multiple Choice,auto-multiple-choice,/usr/share/auto-multiple-choice/icons/auto-multiple-choice.svg,auto-multiple-choice
ayttm,ayttm,/usr/share/pixmaps/ayttm.png,ayttm
Backup Tool,mintBackup,/usr/lib/linuxmint/mintBackup/icon.svg,mintbackup
Backup Tool,mintBackup,/usr/lib/linuxmint/mintBackup/icon.png,mintbackup
Backup Tool,mintBackup_mime,/usr/lib/linuxmint/mintBackup/icon.png,mintbackup
Backup Tool,mintBackup_mime,/usr/lib/linuxmint/mintBackup/icon.svg,mintbackup
Bacula Administration Tool,bat,/usr/share/pixmaps/bat_icon.png,bat_icon
Bacula Monitor,bacula-tray-monitor,/usr/share/pixmaps/bacula-tray-monitor.xpm,bacula-tray-monitor
Balder2D,Balder2D,balder2d.xpm,balder2d
Barrage,barrage,barrage.png,barrage
